"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"A&D CHARITABLE FOUNDATION, INC.","Great Lakes PACE","H9185","National PACE","National PACE","05/01/2015","Not-for-Profit/Non-Profit","A&D Charitable Foundation, Inc.","Chicago","160","3378 Fashion Square Blvd","","Saginaw","MI","48603","Program Director","Benjamin","David","","1-989-272-7610","","","dbenjamin@greatlakespace.org","3378 Fashion Square Blvd","","Saginaw","MI","48603","03/14/2017"
"ABSOLUTE TOTAL CARE, INC.","Absolute Total Care","H1723","Demo","Medicare-Medicaid Plan HMO/HMOPOS","02/01/2015","For Profit","Centene Corporation","Atlanta","4,120","1441 Main Street Suite 900","","Columbia","SC","29201","","Services","Provider","","1-866-433-6041","","","CorporateMedicareComplianceDept@Centene.com","1441 Main Street","","Columbia","SC","29201","08/09/2017"
"ABSOLUTE TOTAL CARE, INC.","Allwell","H1436","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Centene Corporation","Dallas","5,970","1441 Main Street Suite 900","","Columbia","SC","29201","","Services","Provider","","1-866-433-6041","","","CorporateMedicareComplianceDept@Centene.com","1441 Main Street","","Columbia","SC","29201","08/14/2017"
"ACUTE CARE HEALTH SYSTEM, LLC","Beacon of LIFE","H9323","National PACE","National PACE","10/01/2015","For Profit","Acute Care Health System, LLC","New York","137","1075 Stephenson Avenue","Suite B","Oceanport","NJ","07757","Chief Financial Officer","Prentiss","Kristin","","1-732-806-3224","","1-732-806-3324","kprentiss@acutecarehs.com","106 Moore Ave Suite A","","Mooresville","NC","28115","01/09/2017"
"AETNA BETTER HEALTH INC. (GA)","Aetna Medicare","H3146","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Philadelphia","5,891","2000 Riveredge Parkway","Suite 300","Atlanta","GA","30328","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/07/2018"
"AETNA BETTER HEALTH INC. (IL)","Aetna Better Health Premier Plan","H2506","Demo","Medicare-Medicaid Plan HMO/HMOPOS","02/01/2014","For Profit","CVS Health Corporation","Chicago","9,072","333 West Wacker Dr.","Suite 2100, MC F646","Chicago","IL","60606","Director, Business Projec","Welch","Richard","","1-866-600-2139","","","WelchR@aetna.com","7400 Campus Road","","New Albany","OH","43054","02/03/2020"
"AETNA BETTER HEALTH INC. (OH)","Aetna Better Health of Ohio, MyCare Ohio","H7172","Demo","Medicare-Medicaid Plan HMO/HMOPOS","05/01/2014","For Profit","CVS Health Corporation","Chicago","17,111","7400 W Campus Rd","","New Albany","OH","43054","Director, Business Projec","Welch","Richard","","1-855-364-0974","","","WelchR@aetna.com","7400 Campus Road","","New Albany","OH","43054","02/03/2020"
"AETNA BETTER HEALTH INC. (OH)","Aetna Better Health of Ohio (HMO SNP)","H5337","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","CVS Health Corporation","Philadelphia","1,971","7400 West Campus Road, F494","","New Albany","OH","43054","","Customer Service","Aetna","","1-800-624-0756","","","customerservice@aetna.com","151 Farmington Ave","","Hartford","CT","06156","01/23/2020"
"AETNA BETTER HEALTH OF CALIFORNIA INC.","Aetna Medicare","H4982","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Philadelphia","11,455","2850 Shadelands Dr.","","Walnut Creek","CA","94598","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/11/2018"
"AETNA BETTER HEALTH OF MICHIGAN INC.","Aetna Medicare","H2056","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Philadelphia","3,455","1333 Gratiot","Suite 400","Detroit","MI","48207","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/06/2018"
