"County","State","Contract ID","Organization Name","Organization Type","Plan Type","SSA Code","FIPS Code","Enrolled"
"Autauga","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01000","01001","696"
"Autauga","AL","H0154","VIVA HEALTH, INC.","Local CCP","HMO/HMOPOS","01000","01001","1505"
"Autauga","AL","H0432","UNITEDHEALTHCARE OF ALABAMA, INC.","Local CCP","HMO/HMOPOS","01000","01001","394"
"Autauga","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01000","01001","724"
"Autauga","AL","H2802","UNITEDHEALTHCARE OF THE MIDLANDS, INC.","Local CCP","HMO/HMOPOS","01000","01001","937"
"Autauga","AL","H4091","SIMPRA ADVANTAGE, INC.","Local CCP","Local PPO","01000","01001","37"
"Autauga","AL","H4513","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","Local CCP","HMO/HMOPOS","01000","01001","502"
"Autauga","AL","H5216","HUMANA INSURANCE COMPANY","Local CCP","Local PPO","01000","01001","759"
"Autauga","AL","H5521","AETNA LIFE INSURANCE COMPANY","Local CCP","Local PPO","01000","01001","66"
"Autauga","AL","H7849","CIGNA HEALTH AND LIFE INSURANCE COMPANY","Local CCP","Local PPO","01000","01001","17"
"Autauga","AL","H8145","HUMANA INSURANCE COMPANY","PFFS","PFFS","01000","01001","16"
"Autauga","AL","H9572","BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Local CCP","Local PPO","01000","01001","17"
"Autauga","AL","R7315","HUMANA INSURANCE COMPANY","Regional CCP","Regional PPO","01000","01001","44"
"Baldwin","AL","90091","UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT","HCPP - 1833 Cost","HCPP - 1833 Cost","01010","01003","31"
"Baldwin","AL","H0104","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Local CCP","Local PPO","01010","01003","6004"
"Baldwin","AL","H0154","VIVA HEALTH, INC.","Local CCP","HMO/HMOPOS","01010","01003","494"
"Baldwin","AL","H0432","UNITEDHEALTHCARE OF ALABAMA, INC.","Local CCP","HMO/HMOPOS","01010","01003","1883"
"Baldwin","AL","H0710","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01010","01003","47"
"Baldwin","AL","H2001","SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local CCP","Local PPO","01010","01003","1626"
"Baldwin","AL","H2802","UNITEDHEALTHCARE OF THE MIDLANDS, INC.","Local CCP","HMO/HMOPOS","01010","01003","4827"
"Baldwin","AL","H3916","HIGHMARK SENIOR HEALTH COMPANY","Local CCP","Local PPO","01010","01003","38"
