"State Name","County Name","FIPSST","FIPSCNTY","FIPS","SSAST","SSACNTY","SSA","Eligibles","Enrolled","Penetration"
"Alabama","Autauga","01","001","01001","01","000","01000","10538","5,746","54.53%"
"Alabama","Baldwin","01","003","01003","01","010","01010","55894","27,115","48.51%"
"Alabama","Barbour","01","005","01005","01","020","01020","6436","3,200","49.72%"
"Alabama","Bibb","01","007","01007","01","030","01030","4997","2,731","54.65%"
"Alabama","Blount","01","009","01009","01","040","01040","10395","7,525","72.39%"
"Alabama","Bullock","01","011","01011","01","050","01050","1717","1,239","72.16%"
"Alabama","Butler","01","013","01013","01","060","01060","4933","1,926","39.04%"
"Alabama","Calhoun","01","015","01015","01","070","01070","29009","10,002","34.48%"
"Alabama","Chambers","01","017","01017","01","080","01080","8961","3,892","43.43%"
"Alabama","Cherokee","01","019","01019","01","090","01090","6307","3,110","49.31%"
"Alabama","Chilton","01","021","01021","01","100","01100","8832","5,895","66.75%"
"Alabama","Choctaw","01","023","01023","01","110","01110","3813","1,204","31.58%"
"Alabama","Clarke","01","025","01025","01","120","01120","6597","3,370","51.08%"
"Alabama","Clay","01","027","01027","01","130","01130","3516","1,557","44.28%"
"Alabama","Cleburne","01","029","01029","01","140","01140","3417","1,090","31.90%"
"Alabama","Coffee","01","031","01031","01","150","01150","10868","3,748","34.49%"
"Alabama","Colbert","01","033","01033","01","160","01160","13855","5,129","37.02%"
"Alabama","Conecuh","01","035","01035","01","170","01170","3452","1,261","36.53%"
"Alabama","Coosa","01","037","01037","01","180","01180","3169","1,418","44.75%"
"Alabama","Covington","01","039","01039","01","190","01190","10368","3,226","31.11%"
"Alabama","Crenshaw","01","041","01041","01","200","01200","3435","1,568","45.65%"
"Alabama","Cullman","01","043","01043","01","210","01210","19892","8,907","44.78%"
"Alabama","Dale","01","045","01045","01","220","01220","9777","3,964","40.54%"
"Alabama","Dallas","01","047","01047","01","230","01230","10447","5,044","48.28%"
"Alabama","DeKalb","01","049","01049","01","240","01240","15372","5,984","38.93%"
"Alabama","Elmore","01","051","01051","01","250","01250","18791","8,408","44.74%"
"Alabama","Escambia","01","053","01053","01","260","01260","8779","3,995","45.51%"
"Alabama","Etowah","01","055","01055","01","270","01270","26850","12,561","46.78%"
"Alabama","Fayette","01","057","01057","01","280","01280","6341","1,629","25.69%"
"Alabama","Franklin","01","059","01059","01","290","01290","7265","1,947","26.80%"
"Alabama","Geneva","01","061","01061","01","300","01300","6997","2,724","38.93%"
"Alabama","Greene","01","063","01063","01","310","01310","2292","931","40.62%"
"Alabama","Hale","01","065","01065","01","320","01320","4273","1,469","34.38%"
"Alabama","Henry","01","067","01067","01","330","01330","4981","2,388","47.94%"
"Alabama","Houston","01","069","01069","01","340","01340","25069","10,625","42.38%"
"Alabama","Jackson","01","071","01071","01","350","01350","13726","4,844","35.29%"
"Alabama","Jefferson","01","073","01073","01","360","01360","136942","75,469","55.11%"
"Alabama","Lamar","01","075","01075","01","370","01370","3867","1,011","26.14%"
"Alabama","Lauderdale","01","077","01077","01","380","01380","22615","8,117","35.89%"
"Alabama","Lawrence","01","079","01079","01","390","01390","9103","3,322","36.49%"
"Alabama","Lee","01","081","01081","01","400","01400","25330","10,668","42.12%"
"Alabama","Limestone","01","083","01083","01","410","01410","18162","7,111","39.15%"
"Alabama","Lowndes","01","085","01085","01","420","01420","2779","1,874","67.43%"
"Alabama","Macon","01","087","01087","01","430","01430","4695","2,344","49.93%"
"Alabama","Madison","01","089","01089","01","440","01440","68512","22,856","33.36%"
"Alabama","Marengo","01","091","01091","01","450","01450","5318","2,007","37.74%"
"Alabama","Marion","01","093","01093","01","460","01460","5284","2,086","39.48%"
"Alabama","Marshall","01","095","01095","01","470","01470","22120","7,494","33.88%"
"Alabama","Mobile","01","097","01097","01","480","01480","85667","51,111","59.66%"
"Alabama","Monroe","01","099","01099","01","490","01490","5392","2,539","47.09%"
"Alabama","Montgomery","01","101","01101","01","500","01500","44198","22,687","51.33%"
"Alabama","Morgan","01","103","01103","01","510","01510","25113","9,664","38.48%"
"Alabama","Perry","01","105","01105","01","520","01520","2334","1,272","54.50%"
"Alabama","Pickens","01","107","01107","01","530","01530","5060","1,659","32.79%"
"Alabama","Pike","01","109","01109","01","540","01540","6965","3,031","43.52%"
"Alabama","Randolph","01","111","01111","01","550","01550","5805","2,233","38.47%"
"Alabama","Russell","01","113","01113","01","560","01560","11305","5,023","44.43%"
"Alabama","Shelby","01","117","01117","01","580","01580","37136","19,606","52.80%"
"Alabama","St. Clair","01","115","01115","01","570","01570","17595","10,734","61.01%"
"Alabama","Sumter","01","119","01119","01","590","01590","3075","1,196","38.89%"
"Alabama","Talladega","01","121","01121","01","600","01600","19282","10,245","53.13%"
"Alabama","Tallapoosa","01","123","01123","01","610","01610","10579","5,402","51.06%"
